SOURCE,TITLE,BOOK,PART,AUTHOR,CHAPTER_NAME,CHAPTER_NUMBER,SPEAKER,TEXT_TYPE,TEXT,CHARACTERS,LOCATIONS,ARTIFACTS
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON,,,TEXT_CONTEXT,Hvernig skal kenna gull? How shall gold be named?,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON,,,TEXT_CONTEXT,"Thus: by calling it the Fire of Ægir; the Pine-needles of Glasir; the Hair of Síf; the Head-band of Fulla; Freyja’s Tears; the Drop, or Rain, or Shower of Draupnir [Ódin’s gold ring, from which dropped other rings]; Otter’s Ransom; Forced Payment of the Æsir; . . .",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON,,,TEXT_EXTRA,"Following such a list as this, Snorri gave explanations of these locutions.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON,,,TEXT_CONTEXT,"Hver er sök til þess, at gull er kallat otrgjöld? What is the reason that gold is called Otter’s ransom?",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON,,,TEXT_CONTEXT,"It is told that when the Æsir, Ódin and Loki and Hœnir, went out to explore the world they came to a certain river, and they went along the river to a waterfall; and by the waterfall was an otter . . .",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON,,,TEXT_STORY,"It remains to add that the celebrity of Snorri’s book in the centuries that followed, and most especially of the Skáldskaparmál, led, before the emergence of the Codex Regius, to the term Edda being widely used to mean, expressly, the technical rules of the old ‘court’ poetry, or ‘Skaldic’ verse. In those days poets complained of the tyranny of Edda, or offered apologies for their lack of proficiency in the art of Edda. In the words of Gudbrand Vigfússon: ‘An untaught poet who called a spade a spade, instead of describing it by a mythological circumlocution, would be scouted as “Eddaless”’ (Eddu-lauss, ‘having no Eddaic art’). Thus the term ‘Eddaic’, as now used, in opposition to ‘Skaldic’, is a perfect reversal of its former meaning.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§2 THE SAGA OF THE VÖLSUNGS (Völsunga Saga),,,TEXT_EXTRA,"The Codex Regius of the Poetic Edda is a collection of poems of great diversity, composed by poets who lived centuries apart; but it was compiled and ordered with intelligent care. Most of the heroic poems are concerned with the story of the Völsungs and the Niflungs; and these the compiler of the collection arranged, so far as the diverse structure and scope of the individual lays allowed him, in a narrative sequence, adding explanatory passages in prose at the beginning and end of many of the lays, and narrative links in the course of them.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§2 THE SAGA OF THE VÖLSUNGS (Völsunga Saga),,,TEXT_STORY,"In this situation, there is an essential aid to the understanding of the Northern legend. This is the Völsunga Saga, written, probably in Iceland, in the thirteenth century, though the oldest manuscript is much later: a prose tale of the fate of the whole Völsung race from the far ancestry of Sigmund, father of Sigurd, and continuing on to the fall of the Niflungs and the death of Atli (Attila) and beyond. It is founded both on Eddaic lays that survive and other sources now lost; and ‘it is solely from the lays that it has used,’ my father said in a lecture, ‘that it derives its power and the attraction that it has for all those who come to it,’ for he did not hold the author’s artistic capacity in high regard.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_EXTRA,"It is at once obvious that the manuscript of the two lays is a fair copy intended to be final, for my father’s handwriting is clear and uniform throughout, with scarcely any corrections made at the time of writing (and of very few of his manuscripts, however ‘final’ in intention, can that be said). While it cannot be shown to be the case, there is at any rate no indication that the two poems were not written out consecutively.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_STORY,"The final manuscript of the poems did however itself undergo correction at some later time. By a rough count there are some eighty to ninety emendations scattered through the two texts, from changes of a single word to (but rarely) the substitution of several half-lines; some lines are marked for alteration but without any replacement provided.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_STORY,"There are two notable differences in the presentation of Völsungakviða en nýja and Guðrúnarkviða en nýja in the manuscript. One concerns the actual organization of the poem. The Lay of the Völsungs following the opening section Upphaf (‘Beginning’) is divided into nine sections, to which my father gave titles in Norse without translation, as follows:",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_EXTRA,"I have retained these titles in the text, but added translations, as above, to those which are not simply proper names. In the Lay of Gudrún, on the other hand, there is no division into sections.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_EXTRA,Of old was an age when was emptiness,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_EXTRA,(the opening of Upphaf ). But apart from Upphaf the whole of the Lay of the Völsungs is written in long lines (without a metrical space between the halves):,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_EXTRA,Of old was an age when Ódin walked,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§3 THE TEXT OF THE POEMS,,,TEXT_EXTRA,"(the opening of Andvara-gull ). At the top of this page, however, my father wrote in pencil: ‘This should all be written in short line form, which looks better – as in Upphaf .’ I have therefore set out the text of the Lay of the Völsungs in this way.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§4 THE SPELLING OF NORSE NAMES,,,TEXT_EXTRA,"I have thought it best to follow closely my father’s usage in respect of the writing of Norse names in an English context. The most important features, which appear in his manuscript of the poems with great consistency, are these:",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§4 THE SPELLING OF NORSE NAMES,,,TEXT_STORY,"The only case where I have imposed consistency is that of the name of the god who in Norse is Óðinn. In his lecture notes my father naturally used the Norse form (which I have retained in the text of his lecture on the ‘Elder Edda’, p.22). In the carefully written manuscript of the ‘New Lays’, on the other hand, he ‘anglicized’ it, changing ð to d, but (as generally in all such cases) retaining the acute accent indicating a long vowel. But he used two forms, favouring one or the other in different parts of the Lay of the Völsungs: Ódin and Ódinn. But in section VI, Brynhildr, where the name occurs frequently in the form Ódinn, he wrote (stanza 8) Ódinn bound me, Ódin’s chosen. This is because in the Norse genitive nn changes to ns: Óðins sonr, ‘son of Ódin’.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§5 THE VERSE-FORM OF THE POEMS,,,TEXT_EXTRA,"The metrical form of these Lays was very evidently a primary element in my father’s purpose. As he said in his letters to W.H. Auden, he wrote in ‘the old eight-line fornyrðislag stanza’, and I give here an abbreviated account of its nature.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§5 THE VERSE-FORM OF THE POEMS,,,TEXT_STORY,"The Old English line was composed of two opposed word-groups or ‘halves’. Each half was an example, or variation, of one of six basic patterns.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§5 THE VERSE-FORM OF THE POEMS,,,TEXT_STORY,"A, B, C have equal feet, each containing a lift and dip. D and E have unequal feet: one consists of a single lift, the other has a subordinate stress (marked `) inserted.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§5 THE VERSE-FORM OF THE POEMS,,,TEXT_STORY,"These are the normal patterns of four elements into which Old English words naturally fell, and into which modern English words still fall. They can be found in any passage of prose, ancient or modern. Verse of this kind differs from prose, not in re-arranging words to fit a special rhythm, repeated or varied in successive lines, but in choosing the simpler and more compact word-patterns and clearing away extraneous matter, so that these patterns stand opposed to one another.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§5 THE VERSE-FORM OF THE POEMS,,,TEXT_EXTRA,"These patterns are found also in fornyrðislag, and can be readily identified in my father’s Norse lays: as for example in stanza 45 of the Lay of Gudrún (p.268), lines 2–6:",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§5 THE VERSE-FORM OF THE POEMS,,,TEXT_EXTRA,"In the variations on the ‘basic patterns’ (‘overweighting’, ‘extension’, etc.) described in my father’s account there are indeed differences in Old Norse from Old English, tending to greater brevity; but I will enter only into the most radical and important difference between the verse-forms, namely, that all Norse poetry is ‘strophic’, or ‘stanzaic’, that is, composed in strophes or stanzas. This is in the most marked contrast to Old English, where any such arrangements were altogether avoided; and my father wrote of it (see p.7): ‘In Old English breadth, fullness, reflection, elegiac effect, were aimed at. Old Norse aims at seizing a situation, striking a blow that will be remembered, illuminating a moment with a flash of lightning – and tends to concision, weighty packing of the language in sense and form, and gradually to greater regularity of form of verse.’",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§5 THE VERSE-FORM OF THE POEMS,,,TEXT_EXTRA,Old Norse poetry follows precisely the same principles in the matter of ‘alliteration’ as does Old English poetry. Those principles were formulated thus by my father in his account of Old English metre cited earlier.,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_EXTRA,"Together with the manuscript of the New Lays were placed some small slips of paper on which my father made some interpretative remarks about them. They were written very rapidly in ink or in pencil, and in the case of (iv) in pencil overwritten and added to in ink, clearly at the same time. It seems impossible to put any even relative date on them; a sense of distance and detachment may be artificial.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_SPECIAL,(i),,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"After the mythical introduction and the account of the Hoard, the Lay turns to the Völsung-family, and traces the history of Völsung, Sigmund, and Sigurd. The chief part is the tragedy of Sigurd and Brynhild, which is of interest for itself; but the whole is given unity as a study of the way in which a wilful deed of Loki, the purposeless slaying of Otr, and his ruthless method of extricating Ódin and himself from the peril into which this deed has brought them sets in motion a curse that at the last brings Sigurd to his death.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"The full working of this curse is only hastened by Ódin’s own interventions – to provide Sigurd with horse and weapon fit for his task, and to provide him with a fit bride, the fairest of all Ódin’s Valkyries, Brynhild. (It appears that Ódin purposes through Sigurd to punish the family of Hreidmar (Fáfnir and Regin) for the exaction of the ransom of Otr.) In the story of Sigurd",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_EXTRA,Here this text breaks off.,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_SPECIAL,(ii),,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"Grímhild, wife of Gjúki King of the Burgundians (or Niflungs), is the chief agent of evil, not because of any farsighted plans of wickedness: she is rather an example of that wickedness that looks only to each situation as it occurs, and sticks at nothing to gain from it what seems immediately profitable. She is ‘grey with wisdom’ being a witch in lore and still more skilled in the reading of minds and hearts to use their weaknesses and follies. Her will dominates her daughter Gudrún and her oldest son Gunnar.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"Gudrún is a simple maiden, incapable of any great plans for profit or vengeance. She falls in love with Sigurd, and for herself has no further motive. A sensitive but weak character, she is capable of disastrous speech or action under provocation. The occasions of this that are described are her fatal retort to the taunting of Brynhild, which more than anything is the immediate cause of Sigurd’s murder, and in the sequel, the Slaying of the Niflungs, her terrible deeds at the end when driven to madness and despair.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"Gunnar is a hot impatient character, dominated by Grímhild. Though not too stupid to perceive prudence, in cases of doubt or difficulty he becomes fey and reckless, turning to violence.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_SPECIAL,(iii),,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"After Sigurd was slain, Brynhild took her own life, and they were both burned on one pyre. Gudrún did not take her own life, but for grief was for a time half-witless. She would not look upon her kinsmen nor upon her mother, and dwelt apart in a house in the woods. There after a while she began to weave in a tapestry the history of the Dragon-hoard and of Sigurd.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"Atli son of Budli became king of the Huns, ancient enemies of the Burgundians, who had before slain his father.* His power growing great becomes a threat to Gunnar, who is now king in his father Gjúki’s stead; and as Högni his brother had foretold they miss now the valour of King Sigurd their sworn-brother.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_SPECIAL,(iv),,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"This lay [i.e. Guðrúnarkviða en nýja] is a sequel to the Lay of Sigurd and assumes knowledge of it, though by the device of Gudrún’s tapestry the history of the accursed Hoard and of Sigurd is brought to mind and outlined at the beginning.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"In the former Lay it was told how the dominion of the Gods was from the first threatened with destruction. Ódin, Lord of Gods and Men, begets in the world many mighty men, whom he gathers in Valhöll to be his companions in the Last Battle. One family in especial he singles out, the Völsungs,* all of whom are his chosen warriors, and one, Sigurd son of Sigmund, is to be the chief of all, their leader in the Last Day; for Ódin hopes that by his hand the Serpent shall in the end be slain, and a new world made possible.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"None of the Gods can accomplish this, but only one who has lived on Earth first as a mortal, and died. (This motive of the special function of Sigurd is an invention of the present poet, or an interpretation of the Norse sources in which it is not explicit.)",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"Evil is not, however, to be found only in the ever-watchful host of the Enemies of Gods and Men. It is found also in Ásgard itself in the person of Loki, by whose deeds, wilful, merely mischievous, or wholly malicious, the counsels and hopes of Ódin seem ever turned awry or defeated.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,"§6 NOTES ON THE POEMS, BY THE AUTHOR",,,TEXT_CONTEXT,"Yet Loki is seen ever walking the world at the left hand of Ódin, who does not rebuke him, nor dismiss him, nor refuse the aid of his cunning. At Ódin’s right hand there walks another figure, a nameless shadow. It would seem that this poet (seeing that the Northern Gods represent but written large the ways of Men in the hostile world) has taken this old legend to symbolize Man’s prudence and wisdom and its ever present accompaniment of folly and malice that defeats it, only to bring forth greater heroism and deeper wisdom; while ever at the right hand walks the shadow that is neither Ódin nor Loki but in some aspect Fate, the real story that must be blended of both. Yet Ódin is master of the Three and the final outcome will resemble rather the hope of Ódin than the malice (shorter sighted) of Loki. Ódin at times gives expression to this, saying that his hope looks out beyond the seeming disasters of this world. Though Ódin’s chosen come all to an evil end or untimely death, that will only make them of greater worth for their ultimate purpose in the Last Battle. On this in many ways mysterious writing see the commentary on the Upphaf of the Lay of the Völsungs, and the commentary on the first section of the poem, Andvari’s Gold, stanza 1.",,,
