Type,Text
UNKNOWN(crt1),Illustrations © Bill Sanderson 2009
UNKNOWN(crt1),and Tolkien® are registered trade marks of The J.R
UNKNOWN(vrt),
UNKNOWN(crt1),The Proprietor on behalf of the Author and the Edi
UNKNOWN(crt1),A CIP catalogue record for this book is available 
UNKNOWN(crt1),ISBN 978-0-00-731723-3
UNKNOWN(crt1),All rights reserved under International and Pan-Am
UNKNOWN(crt1),EPub Edition © APRIL 2009 ISBN: 978-0-007-32307-4
UNKNOWN(fsq),Works by J.R.R. Tolkien
UNKNOWN(fsqs),THE HOBBIT
UNKNOWN(fsqs),LEAF BY NIGGLE
UNKNOWN(fsqs),ON FAIRY-STORIES
UNKNOWN(fsqs),FARMER GILES OF HAM
UNKNOWN(fsqs),THE HOMECOMING OF BEORHTNOTH
UNKNOWN(fsqs),THE LORD OF THE RINGS
UNKNOWN(fsqs),THE ADVENTURES OF TOM BOMBADIL
UNKNOWN(fsqs),THE ROAD GOES EVER ON (WITH DONALD SWANN)
UNKNOWN(fsqs),SMITH OF WOOTTON MAJOR
UNKNOWN(fsq),Works published posthumously
UNKNOWN(fsqs),"SIR GAWAIN AND THE GREEN KNIGHT, PEARL AND SIR ORF"
UNKNOWN(fsqs),THE FATHER CHRISTMAS LETTERS
UNKNOWN(fsqs),THE SILMARILLION
UNKNOWN(fsqs),PICTURES BY J.R.R. TOLKIEN
UNKNOWN(fsqs),UNFINISHED TALES
UNKNOWN(fsqs),THE LETTERS OF J.R.R. TOLKIEN
UNKNOWN(fsqs),FINN AND HENGEST
UNKNOWN(fsqs),MR BLISS
UNKNOWN(fsqs),THE MONSTERS AND THE CRITICS & OTHER ESSAYS
UNKNOWN(fsqs),ROVERANDOM
UNKNOWN(fsqs),THE CHILDREN OF HÚRIN
UNKNOWN(fsqs),THE LEGEND OF SIGURD AND GUDRÚN
UNKNOWN(fsq),The History of Middle-earth – by Christopher Tolki
UNKNOWN(fsqs),"I THE BOOK OF LOST TALES, PART ONE"
UNKNOWN(fsqs),"II THE BOOK OF LOST TALES, PART TWO"
UNKNOWN(fsqs),III THE LAYS OF BELERIAND
UNKNOWN(fsqs),IV THE SHAPING OF MIDDLE-EARTH
UNKNOWN(fsqs),V THE LOST ROAD AND OTHER WRITINGS
UNKNOWN(fsqs),VI THE RETURN OF THE SHADOW
UNKNOWN(fsqs),VII THE TREASON OF ISENGARD
UNKNOWN(fsqs),VIII THE WAR OF THE RING
UNKNOWN(fsqs),IX SAURON DEFEATED
UNKNOWN(fsqs),X MORGOTH’S RING
UNKNOWN(fsqs),XI THE WAR OF THE JEWELS
UNKNOWN(fsqs),XII THE PEOPLES OF MIDDLE-EARTH
UNKNOWN(img1),
TITLE,THE LEGEND OF SIGURD AND GUDRÚN
AUTHOR,BY J.R.R. Tolkien
UNKNOWN(au1),Edited by Christopher Tolkien
UNKNOWN(pub),
UNKNOWN(fmh),FOREWORD
UNKNOWN(fmsh),FOREWORD
TEXT_EXTRA,"In his essay On Fairy-Stories (1947) my father wrote of books that he read in his childhood, and in the course of this he said:"
TEXT_CONTEXT,"I had very little desire to look for buried treasure or fight pirates, and Treasure Island left me cool. Red Indians were better: there were bows and arrows (I had and have a wholly unsatisfied desire to shoot well with a bow), and strange languages, and glimpses of an archaic mode of life, and above all, forests in such stories. But the land of Merlin and Arthur were better than these, and best of all the nameless North of Sigurd and the Völsungs, and the prince of all dragons. Such lands were pre-eminently desirable."
TEXT_CONTEXT,"I don’t much approve of The Hobbit myself, preferring my own mythology (which is just touched on) with its consistent nomenclature . . . to this rabble of Eddaic-named dwarves out of Völuspá, newfangled hobbits and gollums (invented in an idle hour) and Anglo-Saxon runes."
TEXT_STORY,"These poems stand in a complex relation to their ancient sources; they are in no sense translations. Those sources themselves, various in their nature, present obscurities, contradictions, and enigmas: and the existence of these problems underlay my father’s avowed purpose in writing the ‘New Lays’."
TEXT_STORY,"The sections of this book are each preceded by drawings made by Mr Bill Sanderson. These are derived closely from wood carvings that adorn the wide door-posts of the twelfth century church of Hylestad in the south of Norway, which are now preserved in the Oldsaksamlingen of the University of Oslo."
TEXT_STORY,"It will be seen that there is no reference in this book to the operas of Richard Wagner that are known by the general title of Der Ring des Nibelungen, or The Ring."
UNKNOWN(fmh),INTRODUCTION
UNKNOWN(fmsh),INTRODUCTION
TEXT_EXTRA,"Many years ago my father referred to the words of William Morris concerning what he called ‘the Great Story of the North’, which, he insisted, should be to us ‘what the Tale of Troy was to the Greeks’, and which far in the future ‘should be to those that come after us no less than the Tale of Troy has been to us.’ On this my father observed: ‘How far off and remote sound now the words of William Morris! The Tale of Troy has been falling into oblivion since that time with surprising rapidity. But the Völsungs have not taken its place.’"
UNKNOWN(fmh),INTRODUCTION TO THE ‘ELDER EDDA’
TEXT_EXTRA,"The poetry that goes by this misleading and unfortunate title attracts occasionally from afar people of various sort – philologists, historians, folklorists, and others of that kidney, but also poets, critics, and connoisseurs of new literary sensations. The philologists (in a wide sense) have as usual done most of the work, and their ardour has not more than usual (probably less than in Beowulf ) been diverted from at least intelligent appreciation of the literary value of these documents."
TEXT_STORY,"Let none who listen to the poets of the Elder Edda go away imagining that he has listened to voices of the Primitive Germanic forest, or that in the heroic figures he has looked upon the lineaments of his noble if savage ancestors – such as fought by, with, or against the Romans. I say this with all possible emphasis – and yet so powerful is the notion of hoary and primeval antiquity which clings to the name (quite recent) Elder Edda in popular fancy (so far as popular fancy may be said to play with so remote and unprofitable a theme at all) that, though the tale ought to begin with the seventeenth century and a learned bishop, insensibly I find myself leading off with the Stone Age."
TEXT_STORY,"Yet the sixteenth and seventeenth centuries, at the darkest hour, saw a resurrection after Ragnarök, almost as if there were fulfilled in it the words which the Völva [the sibyl who prophesies in the Eddaic poem Völuspá] speaks concerning the rearising of a new earth, and the return of men and gods to find and marvel at the golden pieces in the grass where once were the halls in which the gods had played at chess [see the tenth verse of the poem The Prophecy of the Sibyl given in Appendix B]."
TEXT_STORY,"When the ‘Elder Edda’ is mentioned, we practically mean a single manuscript – no. 2365 4° in the Royal Collection in Copenhagen: now known as the Codex Regius (of the Elder Edda). It contains 29 poems. There are 45 leaves of it left. After leaf 32 a gathering, probably of eight pages, has been lost.* There appear to have been no losses at beginning and end – where losses frequently occur."
TEXT_STORY,"This is all we know about this remarkable survivor of time, fire, and flood. In 1662 King Frederick III of Denmark sent the well-known Thormod Torfæus with an open letter to the celebrated Brynjólfr Sveinsson. Since 1639 Brynjólfr had been bishop of Skálaholt in Iceland, and had been a keen collector of manuscripts. Torfæus was commissioned to get his help in collecting for the king materials for ancient history, and any antiquities, curiosities, or rarities that could be found in Iceland. In 1663 the bishop sent the choicest of his collection to the king. Among these now priceless treasures was the Codex Regius. Where the bishop had found it, or what was its previous history is unknown, except that he had picked it up twenty years earlier: for on the front page he had written his monogram and a date (LL 1643, i.e. Lupus Loricatus = Brynjólfr), just as we should scrawl our name and a date on a new and interesting acquisition from a second-hand bookshop."
TEXT_STORY,"It may be that it was with that characteristic flourish that my father ended this lecture; at any rate (though the manuscript text continues, and soon turns to a consideration of individual poems) it seems a good place to end it here."
TEXT_STORY,"I append here a number of notes and brief statements on various topics that are best treated separately, as follows."
TEXT_EXTRA,§1 The ‘Prose Edda’ of Snorri Sturluson
TEXT_EXTRA,§2 The Saga of the Völsungs (Völsunga Saga)
TEXT_EXTRA,§3 The text of the poems
TEXT_EXTRA,§4 The spelling of Norse names
TEXT_EXTRA,§5 The verse-form of the poems
TEXT_EXTRA,§6 Notes on the poems by the author
CHAPTER_NAME,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON
TEXT_EXTRA,"The name Edda properly belongs only to a celebrated work by the Icelander Snorri Sturluson (1179–1241). This is a treatise on the distinctive art of Icelandic poetry which in Snorri’s day was dying out: the old metrical rules disregarded, the old mythological knowledge essential to it attacked by a clergy hostile to any survival of heathendom. This book, in its three parts, is a retelling in prose narrative of ancient myths and legends; an account of, and explanation of, the strange diction of the old ‘court poetry’; and exemplification of its verse-forms."
TEXT_CONTEXT,Hvernig skal kenna gull? How shall gold be named?
TEXT_CONTEXT,"Thus: by calling it the Fire of Ægir; the Pine-needles of Glasir; the Hair of Síf; the Head-band of Fulla; Freyja’s Tears; the Drop, or Rain, or Shower of Draupnir [Ódin’s gold ring, from which dropped other rings]; Otter’s Ransom; Forced Payment of the Æsir; . . ."
TEXT_EXTRA,"Following such a list as this, Snorri gave explanations of these locutions."
TEXT_CONTEXT,"Hver er sök til þess, at gull er kallat otrgjöld? What is the reason that gold is called Otter’s ransom?"
TEXT_CONTEXT,"It is told that when the Æsir, Ódin and Loki and Hœnir, went out to explore the world they came to a certain river, and they went along the river to a waterfall; and by the waterfall was an otter . . ."
TEXT_STORY,"It remains to add that the celebrity of Snorri’s book in the centuries that followed, and most especially of the Skáldskaparmál, led, before the emergence of the Codex Regius, to the term Edda being widely used to mean, expressly, the technical rules of the old ‘court’ poetry, or ‘Skaldic’ verse. In those days poets complained of the tyranny of Edda, or offered apologies for their lack of proficiency in the art of Edda. In the words of Gudbrand Vigfússon: ‘An untaught poet who called a spade a spade, instead of describing it by a mythological circumlocution, would be scouted as “Eddaless”’ (Eddu-lauss, ‘having no Eddaic art’). Thus the term ‘Eddaic’, as now used, in opposition to ‘Skaldic’, is a perfect reversal of its former meaning."
CHAPTER_NAME,§2 THE SAGA OF THE VÖLSUNGS (Völsunga Saga)
TEXT_EXTRA,"The Codex Regius of the Poetic Edda is a collection of poems of great diversity, composed by poets who lived centuries apart; but it was compiled and ordered with intelligent care. Most of the heroic poems are concerned with the story of the Völsungs and the Niflungs; and these the compiler of the collection arranged, so far as the diverse structure and scope of the individual lays allowed him, in a narrative sequence, adding explanatory passages in prose at the beginning and end of many of the lays, and narrative links in the course of them."
TEXT_STORY,"In this situation, there is an essential aid to the understanding of the Northern legend. This is the Völsunga Saga, written, probably in Iceland, in the thirteenth century, though the oldest manuscript is much later: a prose tale of the fate of the whole Völsung race from the far ancestry of Sigmund, father of Sigurd, and continuing on to the fall of the Niflungs and the death of Atli (Attila) and beyond. It is founded both on Eddaic lays that survive and other sources now lost; and ‘it is solely from the lays that it has used,’ my father said in a lecture, ‘that it derives its power and the attraction that it has for all those who come to it,’ for he did not hold the author’s artistic capacity in high regard."
CHAPTER_NAME,§3 THE TEXT OF THE POEMS
TEXT_EXTRA,"It is at once obvious that the manuscript of the two lays is a fair copy intended to be final, for my father’s handwriting is clear and uniform throughout, with scarcely any corrections made at the time of writing (and of very few of his manuscripts, however ‘final’ in intention, can that be said). While it cannot be shown to be the case, there is at any rate no indication that the two poems were not written out consecutively."
TEXT_STORY,"The final manuscript of the poems did however itself undergo correction at some later time. By a rough count there are some eighty to ninety emendations scattered through the two texts, from changes of a single word to (but rarely) the substitution of several half-lines; some lines are marked for alteration but without any replacement provided."
TEXT_STORY,"There are two notable differences in the presentation of Völsungakviða en nýja and Guðrúnarkviða en nýja in the manuscript. One concerns the actual organization of the poem. The Lay of the Völsungs following the opening section Upphaf (‘Beginning’) is divided into nine sections, to which my father gave titles in Norse without translation, as follows:"
TEXT_EXTRA,"I have retained these titles in the text, but added translations, as above, to those which are not simply proper names. In the Lay of Gudrún, on the other hand, there is no division into sections."
TEXT_EXTRA,Of old was an age when was emptiness
TEXT_EXTRA,(the opening of Upphaf ). But apart from Upphaf the whole of the Lay of the Völsungs is written in long lines (without a metrical space between the halves):
TEXT_EXTRA,Of old was an age when Ódin walked
TEXT_EXTRA,"(the opening of Andvara-gull ). At the top of this page, however, my father wrote in pencil: ‘This should all be written in short line form, which looks better – as in Upphaf .’ I have therefore set out the text of the Lay of the Völsungs in this way."
CHAPTER_NAME,§4 THE SPELLING OF NORSE NAMES
TEXT_EXTRA,"I have thought it best to follow closely my father’s usage in respect of the writing of Norse names in an English context. The most important features, which appear in his manuscript of the poems with great consistency, are these:"
TEXT_STORY,"The only case where I have imposed consistency is that of the name of the god who in Norse is Óðinn. In his lecture notes my father naturally used the Norse form (which I have retained in the text of his lecture on the ‘Elder Edda’, p.22). In the carefully written manuscript of the ‘New Lays’, on the other hand, he ‘anglicized’ it, changing ð to d, but (as generally in all such cases) retaining the acute accent indicating a long vowel. But he used two forms, favouring one or the other in different parts of the Lay of the Völsungs: Ódin and Ódinn. But in section VI, Brynhildr, where the name occurs frequently in the form Ódinn, he wrote (stanza 8) Ódinn bound me, Ódin’s chosen. This is because in the Norse genitive nn changes to ns: Óðins sonr, ‘son of Ódin’."
CHAPTER_NAME,§5 THE VERSE-FORM OF THE POEMS
TEXT_EXTRA,"The metrical form of these Lays was very evidently a primary element in my father’s purpose. As he said in his letters to W.H. Auden, he wrote in ‘the old eight-line fornyrðislag stanza’, and I give here an abbreviated account of its nature."
TEXT_STORY,"The Old English line was composed of two opposed word-groups or ‘halves’. Each half was an example, or variation, of one of six basic patterns."
UNKNOWN(p4),
TEXT_STORY,"A, B, C have equal feet, each containing a lift and dip. D and E have unequal feet: one consists of a single lift, the other has a subordinate stress (marked `) inserted."
TEXT_STORY,"These are the normal patterns of four elements into which Old English words naturally fell, and into which modern English words still fall. They can be found in any passage of prose, ancient or modern. Verse of this kind differs from prose, not in re-arranging words to fit a special rhythm, repeated or varied in successive lines, but in choosing the simpler and more compact word-patterns and clearing away extraneous matter, so that these patterns stand opposed to one another."
TEXT_EXTRA,"These patterns are found also in fornyrðislag, and can be readily identified in my father’s Norse lays: as for example in stanza 45 of the Lay of Gudrún (p.268), lines 2–6:"
UNKNOWN(tab),A
UNKNOWN(tab),D (a)
UNKNOWN(tab),B
UNKNOWN(tab),E
UNKNOWN(tab),C
TEXT_EXTRA,"In the variations on the ‘basic patterns’ (‘overweighting’, ‘extension’, etc.) described in my father’s account there are indeed differences in Old Norse from Old English, tending to greater brevity; but I will enter only into the most radical and important difference between the verse-forms, namely, that all Norse poetry is ‘strophic’, or ‘stanzaic’, that is, composed in strophes or stanzas. This is in the most marked contrast to Old English, where any such arrangements were altogether avoided; and my father wrote of it (see p.7): ‘In Old English breadth, fullness, reflection, elegiac effect, were aimed at. Old Norse aims at seizing a situation, striking a blow that will be remembered, illuminating a moment with a flash of lightning – and tends to concision, weighty packing of the language in sense and form, and gradually to greater regularity of form of verse.’"
TEXT_EXTRA,Old Norse poetry follows precisely the same principles in the matter of ‘alliteration’ as does Old English poetry. Those principles were formulated thus by my father in his account of Old English metre cited earlier.
UNKNOWN(under),d
UNKNOWN(under),Dr
UNKNOWN(under),d
UNKNOWN(under),o
UNKNOWN(under),a
UNKNOWN(under),e
UNKNOWN(under),wr
UNKNOWN(under),r
UNKNOWN(under),w
UNKNOWN(under),o
UNKNOWN(under),s
UNKNOWN(under),s
UNKNOWN(under),sp
UNKNOWN(under),s
UNKNOWN(under),s
UNKNOWN(under),str
CHAPTER_NAME,"§6 NOTES ON THE POEMS, BY THE AUTHOR"
TEXT_EXTRA,"Together with the manuscript of the New Lays were placed some small slips of paper on which my father made some interpretative remarks about them. They were written very rapidly in ink or in pencil, and in the case of (iv) in pencil overwritten and added to in ink, clearly at the same time. It seems impossible to put any even relative date on them; a sense of distance and detachment may be artificial."
TEXT_SPECIAL,(i)
TEXT_CONTEXT,"After the mythical introduction and the account of the Hoard, the Lay turns to the Völsung-family, and traces the history of Völsung, Sigmund, and Sigurd. The chief part is the tragedy of Sigurd and Brynhild, which is of interest for itself; but the whole is given unity as a study of the way in which a wilful deed of Loki, the purposeless slaying of Otr, and his ruthless method of extricating Ódin and himself from the peril into which this deed has brought them sets in motion a curse that at the last brings Sigurd to his death."
TEXT_CONTEXT,"The full working of this curse is only hastened by Ódin’s own interventions – to provide Sigurd with horse and weapon fit for his task, and to provide him with a fit bride, the fairest of all Ódin’s Valkyries, Brynhild. (It appears that Ódin purposes through Sigurd to punish the family of Hreidmar (Fáfnir and Regin) for the exaction of the ransom of Otr.) In the story of Sigurd"
TEXT_EXTRA,Here this text breaks off.
TEXT_SPECIAL,(ii)
TEXT_CONTEXT,"Grímhild, wife of Gjúki King of the Burgundians (or Niflungs), is the chief agent of evil, not because of any farsighted plans of wickedness: she is rather an example of that wickedness that looks only to each situation as it occurs, and sticks at nothing to gain from it what seems immediately profitable. She is ‘grey with wisdom’ being a witch in lore and still more skilled in the reading of minds and hearts to use their weaknesses and follies. Her will dominates her daughter Gudrún and her oldest son Gunnar."
TEXT_CONTEXT,"Gudrún is a simple maiden, incapable of any great plans for profit or vengeance. She falls in love with Sigurd, and for herself has no further motive. A sensitive but weak character, she is capable of disastrous speech or action under provocation. The occasions of this that are described are her fatal retort to the taunting of Brynhild, which more than anything is the immediate cause of Sigurd’s murder, and in the sequel, the Slaying of the Niflungs, her terrible deeds at the end when driven to madness and despair."
TEXT_CONTEXT,"Gunnar is a hot impatient character, dominated by Grímhild. Though not too stupid to perceive prudence, in cases of doubt or difficulty he becomes fey and reckless, turning to violence."
TEXT_SPECIAL,(iii)
TEXT_CONTEXT,"After Sigurd was slain, Brynhild took her own life, and they were both burned on one pyre. Gudrún did not take her own life, but for grief was for a time half-witless. She would not look upon her kinsmen nor upon her mother, and dwelt apart in a house in the woods. There after a while she began to weave in a tapestry the history of the Dragon-hoard and of Sigurd."
TEXT_CONTEXT,"Atli son of Budli became king of the Huns, ancient enemies of the Burgundians, who had before slain his father.* His power growing great becomes a threat to Gunnar, who is now king in his father Gjúki’s stead; and as Högni his brother had foretold they miss now the valour of King Sigurd their sworn-brother."
TEXT_SPECIAL,(iv)
TEXT_CONTEXT,"This lay [i.e. Guðrúnarkviða en nýja] is a sequel to the Lay of Sigurd and assumes knowledge of it, though by the device of Gudrún’s tapestry the history of the accursed Hoard and of Sigurd is brought to mind and outlined at the beginning."
TEXT_CONTEXT,"In the former Lay it was told how the dominion of the Gods was from the first threatened with destruction. Ódin, Lord of Gods and Men, begets in the world many mighty men, whom he gathers in Valhöll to be his companions in the Last Battle. One family in especial he singles out, the Völsungs,* all of whom are his chosen warriors, and one, Sigurd son of Sigmund, is to be the chief of all, their leader in the Last Day; for Ódin hopes that by his hand the Serpent shall in the end be slain, and a new world made possible."
TEXT_CONTEXT,"None of the Gods can accomplish this, but only one who has lived on Earth first as a mortal, and died. (This motive of the special function of Sigurd is an invention of the present poet, or an interpretation of the Norse sources in which it is not explicit.)"
TEXT_CONTEXT,"Evil is not, however, to be found only in the ever-watchful host of the Enemies of Gods and Men. It is found also in Ásgard itself in the person of Loki, by whose deeds, wilful, merely mischievous, or wholly malicious, the counsels and hopes of Ódin seem ever turned awry or defeated."
TEXT_CONTEXT,"Yet Loki is seen ever walking the world at the left hand of Ódin, who does not rebuke him, nor dismiss him, nor refuse the aid of his cunning. At Ódin’s right hand there walks another figure, a nameless shadow. It would seem that this poet (seeing that the Northern Gods represent but written large the ways of Men in the hostile world) has taken this old legend to symbolize Man’s prudence and wisdom and its ever present accompaniment of folly and malice that defeats it, only to bring forth greater heroism and deeper wisdom; while ever at the right hand walks the shadow that is neither Ódin nor Loki but in some aspect Fate, the real story that must be blended of both. Yet Ódin is master of the Three and the final outcome will resemble rather the hope of Ódin than the malice (shorter sighted) of Loki. Ódin at times gives expression to this, saying that his hope looks out beyond the seeming disasters of this world. Though Ódin’s chosen come all to an evil end or untimely death, that will only make them of greater worth for their ultimate purpose in the Last Battle. On this in many ways mysterious writing see the commentary on the Upphaf of the Lay of the Völsungs, and the commentary on the first section of the poem, Andvari’s Gold, stanza 1."
TEXT_STORY,"In conclusion, this seems a suitable place to refer to remarks of my father’s that bear upon, but have no (at any rate overt) relation to, Guðrúnarkviða en nýja. In his introduction to lectures at Oxford on the Eddaic poem Guðrúnarkviða en forna, the Old Lay of Gudrún, he said that ‘curiously enough’ he was more interested in Gudrún, ‘who is usually slighted, and considered as of secondary interest’, than in Brynhild. By implication, he contrasted the long agony of Gudrún with the irruption of Brynhild, who soon departs, ‘and her passion and death remain only in the background of the tale, a brief and terrible storm beginning in fire and ending in it.’"
PART,VÖLSUNGAKVIÐA EN NÝJA eða SIGURÐARKVIÐA EN MESTA
CHAPTER_NAME,VÖLSUNGAKVIÐA EN NÝJA
UNKNOWN(sub),UPPHAF
UNKNOWN(sub),(Beginning)
UNKNOWN(other),"1 Of old was an age when was emptiness, there was "
CHAPTER_NUMBER,I
CHAPTER_NAME,ANDVARA-GULL
UNKNOWN(sub),(Andvari’s Gold)
TEXT_CONTEXT,"Here first is told how Ódin and his companions were trapped in the house of the demon Hreidmar, and his sons. These dwelt now in the world in the likeness of men or of beasts."
UNKNOWN(other1),1 Of old was an age when Ódin walked by wide water
UNKNOWN(tp),
UNKNOWN(tp),1
TEXT_POEM,"Of old was an age when Ódin walked by wide waters in the world’s beginning; lightfooted Loki at his left was running, at his right Hoenir roamed beside him."
UNKNOWN(tp),
UNKNOWN(tp),2
TEXT_POEM,The falls of Andvari frothed and murmured with fish teeming in foaming pools. As a pike there plunged his prey hunting Dwarf Andvari from his dark cavern.
UNKNOWN(tp),
UNKNOWN(tp),3
TEXT_POEM,"There hunted hungry Hreidmar’s offspring: the silver salmon sweet he thought them. Otr in otter’s form there ate blinking, on the bank brooding of black waters."
UNKNOWN(tp),
UNKNOWN(tp),4
TEXT_POEM,"With stone struck him, stripped him naked, Loki lighthanded, loosing evil. The fell they flayed, fared then onward; in Hreidmar’s halls housing sought they."
UNKNOWN(tp),
UNKNOWN(tp),5
TEXT_POEM,"There wrought Regin by the red embers rune-written iron, rare, enchanted; of gold things gleaming, of grey silver, there Fáfnir lay by the fire dreaming."
TEXT_POEM,Hreidmar
UNKNOWN(tp),6
TEXT_POEM,"‘Do fetters fret you, folk of Ásgard? Regin hath wrought them with runes binding. Redgolden rings, ransom costly, this fell must fill, this fur cover!’"
UNKNOWN(tp),
UNKNOWN(tp),7
TEXT_POEM,Lightshod Loki over land and waves to Rán came running in her realm of sea. The queen of Ægir his quest granted: a net she knotted noosed with evil.
TEXT_POEM,Loki
UNKNOWN(tp),8
TEXT_POEM,"‘What fish have I found in the flood leaping, rashly roaming? Ransom pay me!’"
TEXT_POEM,Loki
UNKNOWN(tp),9
TEXT_POEM,‘What hides thy hand thus hollow bending?’
UNKNOWN(tp),
UNKNOWN(tp),10
TEXT_POEM,(The Dwarf spake darkly from his delvéd stone:)
UNKNOWN(tp),
UNKNOWN(tp),11
TEXT_POEM,In Hreidmar’s house they heaped the gold.
TEXT_POEM,Ódin
UNKNOWN(tp),12
TEXT_POEM,"‘Ye gold have gained: a god’s ransom, for thyself and sons seed of evil.’"
UNKNOWN(tp),
UNKNOWN(tp),13
TEXT_POEM,Words spake Loki worse thereafter:
TEXT_POEM,Ódin
UNKNOWN(tp),14
TEXT_POEM,"‘Whom Ódin chooseth ends not untimely, though ways of men he walk briefly. In wide Valhöll he may wait feasting – it is to ages after that Ódin looks.’"
TEXT_POEM,Hreidmar
UNKNOWN(tp),15
TEXT_POEM,‘The hope of Ódin we heed little! Redgolden rings I will rule alone. Though Gods grudge it gold is healing. From Hreidmar’s house haste now swiftly!’
TEXT_POEM,*
CHAPTER_NUMBER,II SIGNÝ
TEXT_CONTEXT,"Rerir was the son of the son of Ódin. After him reigned Völsung, to whom Ódin gave a Valkyrie as wife. Sigmund and Signý were their eldest children and twins. They had nine sons beside. Sigmund was of all men the most valiant, unless his sons be named. Signý was fair and wise and foresighted. She was given unwilling and against her foreboding to Siggeir king of Gautland, for the strengthening of the power of King Völsung. Here is told how hate grew between Gauts and Völsungs, and of the slaying of Völsung. The ten brothers of Signý were set in fetters in the forest and all perished save Sigmund. Long time he dwelt in a cave in the guise of a dwarvish smith. By Signý was a fierce vengeance devised and fulfilled."
UNKNOWN(other1),1 On the coasts of the North was king renowned Rer
UNKNOWN(tp),
UNKNOWN(tp),1
TEXT_POEM,"On the coasts of the North was king renowned Rerir sea-roving, the raven’s lord. Shield-hung his ships, unsheathed his sword; his sire of old was son of Ódin."
UNKNOWN(tp),
UNKNOWN(tp),2
TEXT_POEM,"Him Völsung followed valiant-hearted, child of longing, chosen of Ódin. Valkyrie fair did Völsung wed, Ódin’s maiden, Ódin’s chosen."
UNKNOWN(tp),
UNKNOWN(tp),3
TEXT_POEM,"Sigmund and Signý, a son and daughter, she bare at a birth in his builded halls. High rose their roofs, huge their timbers, and wide the walls of wood carven."
UNKNOWN(tp),
UNKNOWN(tp),4
TEXT_POEM,"A tree there towered tall and branching, that house upholding, the hall’s wonder; its leaves their hangings, its limbs rafters, its mighty bole in the midst standing."
TEXT_POEM,*
TEXT_POEM,Völsung
UNKNOWN(tp),5
TEXT_POEM,‘What sails be these in the seas shining? What ships be those with shields golden?’
TEXT_POEM,Völsung
UNKNOWN(tp),6
TEXT_POEM,‘Wherefore grievous? Are guests hateful? Gautland’s master glorious reigneth.’
UNKNOWN(tp),
UNKNOWN(tp),7
TEXT_POEM,"Birds sang blithely o’er board and hearth, bold men and brave on benches sitting. Mailclad, mighty, his message spake there a Gautish lord gleaming-harnessed."
TEXT_POEM,Gaut
UNKNOWN(tp),8
TEXT_POEM,"‘Siggeir sent me swiftly steering: fame of Völsung far is rumoured. Signý’s beauty, Signý’s wisdom, to his bed he wooeth, bride most lovely.’"
TEXT_POEM,Völsung
UNKNOWN(tp),9
