Type,Text
UNKNOWN(toc-part),BOOK THREE
UNKNOWN(toc-chapter),Chapter 1: THE DEPARTURE OF BOROMIR
UNKNOWN(toc-chapter),Chapter 2: THE RIDERS OF ROHAN
UNKNOWN(toc-chapter),Chapter 3: THE URUK-HAI
UNKNOWN(toc-chapter),Chapter 4: TREEBEARD
UNKNOWN(toc-chapter),Chapter 5: THE WHITE RIDER
UNKNOWN(toc-chapter),Chapter 6: THE KING OF THE GOLDEN HALL
UNKNOWN(toc-chapter),Chapter 7: HELM’S DEEP
UNKNOWN(toc-chapter),Chapter 8: THE ROAD TO ISENGARD
UNKNOWN(toc-chapter),Chapter 9: FLOTSAM AND JETSAM
UNKNOWN(toc-chapter),Chapter 10: THE VOICE OF SARUMAN
UNKNOWN(toc-chapter),Chapter 11: THE PALANTÍR
UNKNOWN(toc-part),BOOK FOUR
UNKNOWN(toc-chapter),Chapter 1: THE TAMING OF SMÉAGOL
UNKNOWN(toc-chapter),Chapter 2: THE PASSAGE OF THE MARSHES
UNKNOWN(toc-chapter),Chapter 3: THE BLACK GATE IS CLOSED
UNKNOWN(toc-chapter),Chapter 4: OF HERBS AND STEWED RABBIT
UNKNOWN(toc-chapter),Chapter 5: THE WINDOW ON THE WEST
UNKNOWN(toc-chapter),Chapter 6: THE FORBIDDEN POOL
UNKNOWN(toc-chapter),Chapter 7: JOURNEY TO THE CROSS-ROADS
UNKNOWN(toc-chapter),Chapter 8: THE STAIRS OF CIRITH UNGOL
UNKNOWN(toc-chapter),Chapter 9: SHELOB’S LAIR
UNKNOWN(toc-chapter),Chapter 10: THE CHOICES OF MASTER SAMWISE
UNKNOWN(toc-part),THE RETURN OF THE KING
UNKNOWN(toc-part),BOOK FIVE
UNKNOWN(toc-chapter),Chapter 1: MINAS TIRITH
UNKNOWN(toc-chapter),Chapter 2: THE PASSING OF THE GREY COMPANY
UNKNOWN(toc-chapter),Chapter 3: THE MUSTER OF ROHAN
UNKNOWN(toc-chapter),Chapter 4: THE SIEGE OF GONDOR
UNKNOWN(toc-chapter),Chapter 5: THE RIDE OF THE ROHIRRIM
UNKNOWN(toc-chapter),Chapter 6: THE BATTLE OF THE PELENNOR FIELDS
UNKNOWN(toc-chapter),Chapter 7: THE PYRE OF DENETHOR
UNKNOWN(toc-chapter),Chapter 8: THE HOUSES OF HEALING
UNKNOWN(toc-chapter),Chapter 9: THE LAST DEBATE
UNKNOWN(toc-chapter),Chapter 10: THE BLACK GATE OPENS
UNKNOWN(toc-part),BOOK SIX
UNKNOWN(toc-chapter),Chapter 1: THE TOWER OF CIRITH UNGOL
UNKNOWN(toc-chapter),Chapter 2: THE LAND OF SHADOW
UNKNOWN(toc-chapter),Chapter 3: MOUNT DOOM
UNKNOWN(toc-chapter),Chapter 4: THE FIELD OF CORMALLEN
UNKNOWN(toc-chapter),Chapter 5: THE STEWARD AND THE KING
UNKNOWN(toc-chapter),Chapter 6: MANY PARTINGS
UNKNOWN(toc-chapter),Chapter 7: HOMEWARD BOUND
UNKNOWN(toc-chapter),Chapter 8: THE SCOURING OF THE SHIRE
UNKNOWN(toc-chapter),Chapter 9: THE GREY HAVENS
UNKNOWN(toc-chapter),APPENDIX A: ANNALS OF THE KINGS AND RULERS
UNKNOWN(toc-chapter),APPENDIX B: THE TALE OF YEARS
UNKNOWN(toc-chapter),APPENDIX C: FAMILY TREES
UNKNOWN(toc-chapter),APPENDIX D: SHIRE CALENDAR FOR USE IN ALL YEARS
UNKNOWN(toc-chapter),APPENDIX E: WRITING AND SPELLING
UNKNOWN(toc-chapter),APPENDIX F: I THE LANGUAGES AND PEOPLES OF THE THI
UNKNOWN(toc-chapter),INDEX
UNKNOWN(toc-front),Works by J.R.R. Tolkien
UNKNOWN(toc-front),Copyright
UNKNOWN(toc-front),About the Publisher
UNKNOWN(crt2),HarperCollins Publishers
UNKNOWN(crt),"77-85 Fulham Palace Road,"
UNKNOWN(crt),"Hammersmith, London w6 8JB"
UNKNOWN(crt),www.tolkien.co.uk
UNKNOWN(crt1),Published by HarperCollinsPublishers 2005
UNKNOWN(crt1),This edition is based on the reset edition first p
UNKNOWN(crt),which is a revised version of the reset edition fi
UNKNOWN(crt1),THE FELLOWSHIP OF THE RING first published in Grea
UNKNOWN(crt),"by George Allen & Unwin 1954, Second Edition 1966"
UNKNOWN(crt),THE TWO TOWERS first published in Great Britain by
UNKNOWN(crt),"George Allen & Unwin 1954, Second Edition 1966"
UNKNOWN(crt),THE RETURN OF THE KING first published in Great Br
UNKNOWN(crt),"by George Allen & Unwin 1955, Second Edition 1966"
UNKNOWN(crt1),First published in one volume 1968
UNKNOWN(crt1),THE FELLOWSHIP OF THE RING
UNKNOWN(crt),© The Trustees of The J.R.R. Tolkien 1967 Settleme
UNKNOWN(crt),THE TWO TOWERS
UNKNOWN(crt),© The Trustees of The J.R.R. Tolkien 1967 Settleme
UNKNOWN(crt),THE RETURN OF THE KING
UNKNOWN(crt),© The Trustees of The J.R.R. Tolkien 1967 Settleme
UNKNOWN(crt),and ‘Tolkien’® are registered trademarks of The J.
UNKNOWN(crt1),EPub Edition MARCH 2009 ISBN: 978-0-007-32259-6
UNKNOWN(crt1),All rights reserved under International and Pan-Am
UNKNOWN(fmh),NOTE ON THE TEXT
UNKNOWN(p1),J.R.R. Tolkien’s The Lord of the Rings is often er
UNKNOWN(ca),Douglas A. Anderson
UNKNOWN(da),May 2004
UNKNOWN(fmh),NOTE ON THE 50TH ANNIVERSARY EDITION
UNKNOWN(p1),"In this edition of The Lord of the Rings, prepared"
UNKNOWN(ca),Wayne G. Hammond & Christina Scull
UNKNOWN(da),May 2004
UNKNOWN(fmh),FOREWORD TO THE SECOND EDITION
UNKNOWN(p1),"This tale grew in the telling, until it became a h"
PART,PROLOGUE
TEXT_CONTEXT,"This book is largely concerned with Hobbits, and from its pages a reader may discover much of their character and a little of their history. Further information will also be found in the selection from the Red Book of Westmarch that has already been published, under the title of The Hobbit. That story was derived from the earlier chapters of the Red Book, composed by Bilbo himself, the first Hobbit to become famous in the world at large, and called by him There and Back Again, since they told of his journey into the East and his return: an adventure which later involved all the Hobbits in the great events of that Age that are here related."
TEXT_STORY,"Hobbits are an unobtrusive but very ancient people, more numerous formerly than they are today; for they love peace and quiet and good tilled earth: a well-ordered and well-farmed countryside was their favourite haunt. They do not and did not understand or like machines more complicated than a forge-bellows, a water-mill, or a hand-loom, though they were skilful with tools. Even in ancient days they were, as a rule, shy of ‘the Big Folk’, as they call us, and now they avoid us with dismay and are becoming hard to find. They are quick of hearing and sharp-eyed, and though they are inclined to be fat and do not hurry unnecessarily, they are nonetheless nimble and deft in their movements. They possessed from the first the art of disappearing swiftly and silently, when large folk whom they do not wish to meet come blundering by; and this art they have developed until to Men it may seem magical. But Hobbits have never, in fact, studied magic of any kind, and their elusiveness is due solely to a professional skill that heredity and practice, and a close friendship with the earth, have rendered inimitable by bigger and clumsier races."
TEXT_STORY,"Those days, the Third Age of Middle-earth, are now long past, and the shape of all lands has been changed; but the regions in which Hobbits then lived were doubtless the same as those in which they still linger: the North-West of the Old World, east of the Sea. Of their original home the Hobbits in Bilbo’s time preserved no knowledge. A love of learning (other than genealogical lore) was far from general among them, but there remained still a few in the older families who studied their own books, and even gathered reports of old times and distant lands from Elves, Dwarves, and Men. Their own records began only after the settlement of the Shire, and their most ancient legends hardly looked further back than their Wandering Days. It is clear, nonetheless, from these legends, and from the evidence of their peculiar words and customs, that like many other folk Hobbits had in the distant past moved westward. Their earliest tales seem to glimpse a time when they dwelt in the upper vales of Anduin, between the eaves of Greenwood the Great and the Misty Mountains. Why they later undertook the hard and perilous crossing of the mountains into Eriador is no longer certain. Their own accounts speak of the multiplying of Men in the land, and of a shadow that fell on the forest, so that it became darkened and its new name was Mirkwood."
TEXT_CONTEXT,"There is another astonishing thing about Hobbits of old that must be mentioned, an astonishing habit: they imbibed or inhaled, through pipes of clay or wood, the smoke of the burning leaves of a herb, which they called pipe-weed or leaf, a variety probably of Nicotiana. A great deal of mystery surrounds the origin of this peculiar custom, or ‘art’ as the Hobbits preferred to call it. All that could be discovered about it in antiquity was put together by Meriadoc Brandybuck (later Master of Buckland), and since he and the tobacco of the Southfarthing play a part in the history that follows, his remarks in the introduction to his Herblore of the Shire may be quoted."
TEXT_CONTEXT,"The Shire was divided into four quarters, the Farthings already referred to, North, South, East, and West; and these again each into a number of folklands, which still bore the names of some of the old leading families, although by the time of this history these names were no longer found only in their proper folklands. Nearly all Tooks still lived in the Tookland, but that was not true of many other families, such as the Bagginses or the Boffins. Outside the Farthings were the East and West Marches: the Buckland (p. 98); and the Westmarch added to the Shire in S.R. 1452."
TEXT_CONTEXT,"As is told in The Hobbit, there came one day to Bilbo’s door the great Wizard, Gandalf the Grey, and thirteen dwarves with him: none other, indeed, than Thorin Oakenshield, descendant of kings, and his twelve companions in exile. With them he set out, to his own lasting astonishment, on a morning of April, it being then the year 1341 Shire-reckoning, on a quest of great treasure, the dwarf-hoards of the Kings under the Mountain, beneath Erebor in Dale, far off in the East. The quest was successful, and the Dragon that guarded the hoard was destroyed. Yet, though before all was won the Battle of Five Armies was fought, and Thorin was slain, and many deeds of renown were done, the matter would scarcely have concerned later history, or earned more than a note in the long annals of the Third Age, but for an ‘accident’ by the way. The party was assailed by Orcs in a high pass of the Misty Mountains as they went towards Wilderland; and so it happened that Bilbo was lost for a while in the black orc-mines deep under the mountains, and there, as he groped in vain in the dark, he put his hand on a ring, lying on the floor of a tunnel. He put it in his pocket. It seemed then like mere luck."
TEXT_STORY,"Now it is a curious fact that this is not the story as Bilbo first told it to his companions. To them his account was that Gollum had promised to give him a present, if he won the game; but when Gollum went to fetch it from his island he found the treasure was gone: a magic ring, which had been given to him long ago on his birthday. Bilbo guessed that this was the very ring that he had found, and as he had won the game, it was already his by right. But being in a tight place, he said nothing about it, and made Gollum show him the way out, as a reward instead of a present. This account Bilbo set down in his memoirs, and he seems never to have altered it himself, not even after the Council of Elrond. Evidently it still appeared in the original Red Book, as it did in several of the copies and abstracts. But many copies contain the true account (as an alternative), derived no doubt from notes by Frodo or Samwise, both of whom learned the truth, though they seem to have been unwilling to delete anything actually written by the old hobbit himself."
TEXT_STORY,"Of Bilbo’s later adventures little more need be said here. With the help of the ring he escaped from the orc-guards at the gate and rejoined his companions. He used the ring many times on his quest, chiefly for the help of his friends; but he kept it secret from them as long as he could. After his return to his home he never spoke of it again to anyone, save Gandalf and Frodo; and no one else in the Shire knew of its existence, or so he believed. Only to Frodo did he show the account of his Journey that he was writing."
TEXT_CONTEXT,"At the end of the Third Age the part played by the Hobbits in the great events that led to the inclusion of the Shire in the Reunited Kingdom awakened among them a more widespread interest in their own history; and many of their traditions, up to that time still mainly oral, were collected and written down. The greater families were also concerned with events in the Kingdom at large, and many of their members studied its ancient histories and legends. By the end of the first century of the Fourth Age there were already to be found in the Shire several libraries that contained many historical books and records."
PART,THE FELLOWSHIP OF THE RING
BOOK,BOOK ONE
CHAPTER_NUMBER,Chapter 1
CHAPTER_NAME,A LONG-EXPECTED PARTY
TEXT_CONTEXT,"When Mr. Bilbo Baggins of Bag End announced that he would shortly be celebrating his eleventy-first birthday with a party of special magnificence, there was much talk and excitement in Hobbiton."
TEXT_STORY,"But so far trouble had not come; and as Mr. Baggins was generous with his money, most people were willing to forgive him his oddities and his good fortune. He remained on visiting terms with his relatives (except, of course, the Sackville-Bagginses), and he had many devoted admirers among the hobbits of poor and unimportant families. But he had no close friends, until some of his younger cousins began to grow up."
TEXT_STORY,"Twelve more years passed. Each year the Bagginses had given very lively combined birthday-parties at Bag End; but now it was understood that something quite exceptional was being planned for that autumn. Bilbo was going to be eleventy-one, 111, a rather curious number, and a very respectable age for a hobbit (the Old Took himself had only reached 130); and Frodo was going to be thirty-three, 33, an important number: the date of his ‘coming of age’."
TEXT_STORY,"That very month was September, and as fine as you could ask. A day or two later a rumour (probably started by the knowledgeable Sam) was spread about that there were going to be fireworks – fireworks, what is more, such as had not been seen in the Shire for nigh on a century, not indeed since the Old Took died."
TEXT_STORY,"Inside Bag End, Bilbo and Gandalf were sitting at the open window of a small room looking out west on to the garden. The late afternoon was bright and peaceful. The flowers glowed red and golden: snapdragons and sunflowers, and nasturtians trailing all over the turf walls and peeping in at the round windows."
TEXT_STORY,"The next day more carts rolled up the Hill, and still more carts. There might have been some grumbling about ‘dealing locally’, but that very week orders began to pour out of Bag End for every kind of provision, commodity, or luxury that could be obtained in Hobbiton or Bywater or anywhere in the neighbourhood. People became enthusiastic; and they began to tick off the days on the calendar; and they watched eagerly for the postman, hoping for invitations."
TEXT_STORY,"He stepped down and vanished. There was a blinding flash of light, and the guests all blinked. When they opened their eyes Bilbo was nowhere to be seen. One hundred and forty-four flabbergasted hobbits sat back speechless. Old Odo Proudfoot removed his feet from the table and stamped. Then there was a dead silence, until suddenly, after several deep breaths, every Baggins, Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brockhouse, Goodbody, Hornblower, and Proudfoot began to talk at once."
TEXT_STORY,"As for Bilbo Baggins, even while he was making his speech, he had been fingering the golden ring in his pocket: his magic ring that he had kept secret for so many years. As he stepped down he slipped it on his finger, and he was never seen by any hobbit in Hobbiton again."
TEXT_POEM,The Road goes ever on and on
TEXT_POEM,Down from the door where it began.
TEXT_POEM,"Now far ahead the Road has gone,"
TEXT_POEM,"And I must follow, if I can,"
TEXT_POEM,"Pursuing it with eager feet,"
TEXT_POEM,Until it joins some larger way
TEXT_POEM,Where many paths and errands meet.
TEXT_POEM,And whither then? I cannot say.
TEXT_CONTEXT,"He paused, silent for a moment. Then without another word he turned away from the lights and voices in the field and tents, and followed by his three companions went round into his garden, and trotted down the long sloping path. He jumped over a low place in the hedge at the bottom, and took to the meadows, passing into the night like a rustle of wind in the grass."
TEXT_STORY,"Frodo came in soon afterwards, and found him sitting in the dark, deep in thought. ‘Has he gone?’ he asked."
TEXT_STORY,"As master of Bag End Frodo felt it his painful duty to say good-bye to the guests. Rumours of strange events had by now spread all over the field, but Frodo would only say no doubt everything will be cleared up in the morning. About midnight carriages came for the important folk. One by one they rolled away, filled with full but very unsatisfied hobbits. Gardeners came by arrangement, and removed in wheelbarrows those that had inadvertently remained behind."
TEXT_STORY,"This is only a small selection of the assembled presents. Bilbo’s residence had got rather cluttered up with things in the course of his long life. It was a tendency of hobbit-holes to get cluttered up: for which the custom of giving so many birthday-presents was largely responsible. Not, of course, that the birthday-presents were always new; there were one or two old mathoms of forgotten uses that had circulated all around the district; but Bilbo had usually given new presents, and kept those that he received. The old hole was now being cleared a little."
TEXT_STORY,"Frodo had a very trying time that afternoon. A false rumour that the whole household was being distributed free spread like wildfire; and before long the place was packed with people who had no business there, but could not be kept out. Labels got torn off and mixed, and quarrels broke out. Some people tried to do swaps and deals in the hall; and others tried to make off with minor items not addressed to them, or with anything that seemed unwanted or unwatched. The road to the gate was blocked with barrows and handcarts."
TEXT_STORY,"Then they went round the hole, and evicted three young hobbits (two Boffins and a Bolger) who were knocking holes in the walls of one of the cellars. Frodo also had a tussle with young Sancho Proudfoot (old Odo Proudfoot’s grandson), who had begun an excavation in the larger pantry, where he thought there was an echo. The legend of Bilbo’s gold excited both curiosity and hope; for legendary gold (mysteriously obtained, if not positively ill-gotten), is, as everyone knows, anyone’s for the finding – unless the search is interrupted."
CHAPTER_NUMBER,Chapter 2
CHAPTER_NAME,THE SHADOW OF THE PAST
TEXT_CONTEXT,"The talk did not die down in nine or even ninety-nine days. The second disappearance of Mr. Bilbo Baggins was discussed in Hobbiton, and indeed all over the Shire, for a year and a day, and was remembered much longer than that. It became a fireside-story for young hobbits; and eventually Mad Baggins, who used to vanish with a bang and a flash and reappear with bags of jewels and gold, became a favourite character of legend and lived on long after all the true events were forgotten."
TEXT_STORY,"As time went on, people began to notice that Frodo also showed signs of good ‘preservation’: outwardly he retained the appearance of a robust and energetic hobbit just out of his tweens. ‘Some folk have all the luck,’ they said; but it was not until Frodo approached the usually more sober age of fifty that they began to think it queer."
TEXT_STORY,"There were rumours of strange things happening in the world outside; and as Gandalf had not at that time appeared or sent any message for several years, Frodo gathered all the news he could. Elves, who seldom walked in the Shire, could now be seen passing westward through the woods in the evening, passing and not returning; but they were leaving Middle-earth and were no longer concerned with its troubles. There were, however, dwarves on the road in unusual numbers. The ancient East–West Road ran through the Shire to its end at the Grey Havens, and dwarves had always used it on their way to their mines in the Blue Mountains. They were the hobbits’ chief source of news from distant parts – if they wanted any: as a rule dwarves said little and hobbits asked no more. But now Frodo often met strange dwarves of far countries, seeking refuge in the West. They were troubled, and some spoke in whispers of the Enemy and of the Land of Mordor."
TEXT_STORY,"Little of all this, of course, reached the ears of ordinary hobbits. But even the deafest and most stay-at-home began to hear queer tales; and those whose business took them to the borders saw strange things. The conversation in The Green Dragon at Bywater, one evening in the spring of Frodo’s fiftieth year, showed that even in the comfortable heart of the Shire rumours had been heard, though most hobbits still laughed at them."
TEXT_STORY,"It was just at this time that Gandalf reappeared after his long absence. For three years after the Party he had been away. Then he paid Frodo a brief visit, and after taking a good look at him he went off again. During the next year or two he had turned up fairly often, coming unexpectedly after dusk, and going off without warning before sunrise. He would not discuss his own business and journeys, and seemed chiefly interested in small news about Frodo’s health and doings."
TEXT_STORY,"Next morning after a late breakfast, the wizard was sitting with Frodo by the open window of the study. A bright fire was on the hearth, but the sun was warm, and the wind was in the South. Everything looked fresh, and the new green of spring was shimmering in the fields and on the tips of the trees’ fingers."
TEXT_STORY,‘How long have you known this?’ asked Frodo at length. ‘And how much did Bilbo know?’
TEXT_STORY,"Frodo took it from his breeches-pocket, where it was clasped to a chain that hung from his belt. He unfastened it and handed it slowly to the wizard. It felt suddenly very heavy, as if either it or Frodo himself was in some way reluctant for Gandalf to touch it."
TEXT_POEM,"One Ring to rule them all, One Ring to find them,"
TEXT_POEM,One Ring to bring them all and in the darkness bind them.
TEXT_CONTEXT,It is only two lines of a verse long known in Elven-lore:
TEXT_POEM,"Three Rings for the Elven-kings under the sky,"
TEXT_POEM,"Seven for the Dwarf-lords in their halls of stone,"
TEXT_POEM,"Nine for Mortal Men doomed to die,"
TEXT_POEM,One for the Dark Lord on his dark throne
TEXT_POEM,In the Land of Mordor where the Shadows lie.
TEXT_POEM,"One Ring to rule them all, One Ring to find them,"
TEXT_POEM,One Ring to bring them all and in the darkness bind them
TEXT_POEM,In the Land of Mordor where the Shadows lie.’
TEXT_STORY,"‘Ah!’ said Gandalf. ‘That is a very long story. The beginnings lie back in the Black Years, which only the lore-masters now remember. If I were to tell you all that tale, we should still be sitting here when Spring had passed into Winter."
TEXT_STORY,"‘Long after, but still very long ago, there lived by the banks of the Great River on the edge of Wilderland a clever-handed and quiet-footed little people. I guess they were of hobbit-kind; akin to the fathers of the fathers of the Stoors, for they loved the River, and often swam in it, or made little boats of reeds. There was among them a family of high repute, for it was large and wealthier than most, and it was ruled by a grandmother of the folk, stern and wise in old lore, such as they had. The most inquisitive and curious-minded of that family was called Sméagol. He was interested in roots and beginnings; he dived into deep pools; he burrowed under trees and growing plants; he tunnelled into green mounds; and he ceased to look up at the hill-tops, or the leaves on trees, or the flowers opening in the air: his head and his eyes were downward."
TEXT_STORY,‘Gollum!’ cried Frodo. ‘Gollum? Do you mean that this is the very Gollum-creature that Bilbo met? How loathsome!’
TEXT_STORY,A heavy silence fell in the room. Frodo could hear his heart beating. Even outside everything seemed still. No sound of Sam’s shears could now be heard.
TEXT_STORY,"Frodo drew the Ring out of his pocket again and looked at it. It now appeared plain and smooth, without mark or device that he could see. The gold looked very fair and pure, and Frodo thought how rich and beautiful was its colour, how perfect was its roundness. It was an admirable thing and altogether precious. When he took it out he had intended to fling it from him into the very hottest part of the fire. But he found now that he could not do so, not without a great struggle. He weighed the Ring in his hand, hesitating, and forcing himself to remember all that Gandalf had told him; and then with an effort of will he made a movement, as if to cast it away – but he found that he had put it back in his pocket."
TEXT_STORY,"There was a long silence. Gandalf sat down again and puffed at his pipe, as if lost in thought. His eyes seemed closed, but under the lids he was watching Frodo intently. Frodo gazed fixedly at the red embers on the hearth, until they filled all his vision, and he seemed to be looking down into profound wells of fire. He was thinking of the fabled Cracks of Doom and the terror of the Fiery Mountain."
CHAPTER_NUMBER,Chapter 3
CHAPTER_NAME,THREE IS COMPANY
TEXT_CONTEXT,"‘You ought to go quietly, and you ought to go soon,’ said Gandalf. Two or three weeks had passed, and still Frodo made no sign of getting ready to go."
TEXT_STORY,"One summer’s evening an astonishing piece of news reached the Ivy Bush and Green Dragon. Giants and other portents on the borders of the Shire were forgotten for more important matters: Mr. Frodo was selling Bag End, indeed he had already sold it – to the Sackville-Bagginses!"
TEXT_STORY,"Gandalf stayed in the Shire for over two months. Then one evening, at the end of June, soon after Frodo’s plan had been finally arranged, he suddenly announced that he was going off again next morning. ‘Only for a short while, I hope,’ he said. ‘But I am going down beyond the southern borders to get some news, if I can. I have been idle longer than I should.’"
TEXT_STORY,"The next morning they were busy packing another cart with the remainder of the luggage. Merry took charge of this, and drove off with Fatty (that is Fredegar Bolger). ‘Someone must get there and warm the house before you arrive,’ said Merry. ‘Well, see you later – the day after tomorrow, if you don’t go to sleep on the way!’"
TEXT_STORY,"The sun went down. Bag End seemed sad and gloomy and dishevelled. Frodo wandered round the familiar rooms, and saw the light of the sunset fade on the walls, and shadows creep out of the corners. It grew slowly dark indoors. He went out and walked down to the gate at the bottom of the path, and then on a short way down the Hill Road. He half expected to see Gandalf come striding up through the dusk."
TEXT_STORY,"At the bottom of the Hill on its western side they came to the gate opening on to a narrow lane. There they halted and adjusted the straps of their packs. Presently Sam appeared, trotting quickly and breathing hard; his heavy pack was hoisted high on his shoulders, and he had put on his head a tall shapeless felt bag, which he called a hat. In the gloom he looked very much like a dwarf."
TEXT_STORY,"The morning came, pale and clammy. Frodo woke up first, and found that a tree-root had made a hole in his back, and that his neck was stiff. ‘Walking for pleasure! Why didn’t I drive?’ he thought, as he usually did at the beginning of an expedition. ‘And all my beautiful feather beds are sold to the Sackville-Bagginses! These tree-roots would do them good.’ He stretched. ‘Wake up, hobbits!’ he cried. ‘It’s a beautiful morning.’"
TEXT_POEM,The Road goes ever on and on
TEXT_POEM,Down from the door where it began.
TEXT_POEM,"Now far ahead the Road has gone,"
TEXT_POEM,"And I must follow, if I can,"
TEXT_POEM,"Pursuing it with weary feet,"
TEXT_POEM,"Until it joins some larger way,"
TEXT_POEM,Where many paths and errands meet.
TEXT_POEM,And whither then? I cannot say.
TEXT_STORY,"The sun was beginning to get low and the light of afternoon was on the land as they went down the hill. So far they had not met a soul on the road. This way was not much used, being hardly fit for carts, and there was little traffic to the Woody End. They had been jogging along again for an hour or more when Sam stopped a moment as if listening. They were now on level ground, and the road after much winding lay straight ahead through grass-land sprinkled with tall trees, outliers of the approaching woods."
TEXT_STORY,"The shadows of the trees were long and thin on the grass, as they started off again. They now kept a stone’s throw to the left of the road, and kept out of sight of it as much as they could. But this hindered them; for the grass was thick and tussocky, and the ground uneven, and the trees began to draw together into thickets."
TEXT_POEM,"Upon the hearth the fire is red,"
TEXT_POEM,Beneath the roof there is a bed;
TEXT_POEM,"But not yet weary are our feet,"
TEXT_POEM,Still round the corner we may meet
TEXT_POEM,A sudden tree or standing stone
TEXT_POEM,That none have seen but we alone.
TEXT_POEM,"Tree and flower and leaf and grass,"
TEXT_POEM,Let them pass! Let them pass!
TEXT_POEM,"Hill and water under sky,"
TEXT_POEM,Pass them by! Pass them by!
TEXT_POEM,Still round the corner there may wait
TEXT_POEM,"A new road or a secret gate,"
TEXT_POEM,"And though we pass them by today,"
TEXT_POEM,Tomorrow we may come this way
TEXT_POEM,And take the hidden paths that run
TEXT_POEM,Towards the Moon or to the Sun.
TEXT_POEM,"Apple, thorn, and nut and sloe,"
TEXT_POEM,Let them go! Let them go!
TEXT_POEM,"Sand and stone and pool and dell,"
TEXT_POEM,Fare you well! Fare you well!
TEXT_POEM,"Home is behind, the world ahead,"
TEXT_POEM,And there are many paths to tread
TEXT_POEM,"Through shadows to the edge of night,"
TEXT_POEM,Until the stars are all alight.
TEXT_POEM,"Then world behind and home ahead,"
TEXT_POEM,We’ll wander back to home and bed.
TEXT_POEM,"Mist and twilight, cloud and shade,"
TEXT_POEM,Away shall fade! Away shall fade!
TEXT_POEM,"Fire and lamp, and meat and bread,"
TEXT_POEM,And then to bed! And then to bed!
TEXT_POEM,Snow-white! Snow-white! O Lady clear!
TEXT_POEM,O Queen beyond the Western Seas!
TEXT_POEM,O Light to us that wander here
TEXT_POEM,Amid the world of woven trees!
TEXT_POEM,Gilthoniel! O Elbereth!
TEXT_POEM,Clear are thy eyes and bright thy breath!
TEXT_POEM,Snow-white! Snow-white! We sing to thee
TEXT_POEM,In a far land beyond the Sea.
TEXT_POEM,O stars that in the Sunless Year
TEXT_POEM,"With shining hand by her were sown,"
TEXT_POEM,In windy fields now bright and clear
TEXT_POEM,We see your silver blossom blown!
TEXT_POEM,O Elbereth! Gilthoniel!
TEXT_POEM,"We still remember, we who dwell"
TEXT_POEM,"In this far land beneath the trees,"
TEXT_POEM,Thy starlight on the Western Seas.
